workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,utterance_type,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
17,condition1,africanmask_big.jpg,contrast,Click on the small wheel,.loc3,.loc4,.loc2,.loc1,bad,"['loc3', 'loc2', 'loc1']","[1967, 4196, 5615]",graduationhat_small.jpg,safetypin_big.jpg,wheel_big.jpg,wheel_small.jpg,56,train16,train,13,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,desk_big.jpg,no_contrast,Click on the big grapes,.loc2,.loc4,.loc1,.loc3,bad,"['loc2', 'loc3', 'loc3']","[1498, 3389, 4854]",shears_small.jpg,monkey_small.jpg,monkey_small.jpg,grapes_big.jpg,39,test39,test,14,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,washer_big.jpg,contrast_control,Click on the grill,.loc3,.loc1,.loc4,.loc2,bad,"['loc3', 'loc1']","[1575, 3066]",washer_small.jpg,grill_big.jpg,clog_big.jpg,grill_small.jpg,226,filler106,filler,15,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,candycanes_big.jpg,contrast,Click on the small snail,.loc4,.loc3,.loc1,.loc2,bad,"['loc3', 'loc2', 'loc2']","[1670, 3589, 4284]",radish_small.jpg,alien_big.jpg,snail_big.jpg,snail_small.jpg,76,train36,train,16,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,chips_single.jpg,semantic_control,Click on the window,.loc1,.loc4,.loc3,.loc2,bad,"['loc1', 'loc2']","[1204, 2800]",chips_multiple.jpg,window_small.jpg,saddle_small.jpg,window_big.jpg,281,filler161,filler,17,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,toyfarm_big.jpg,contrast,Click on the big ribbon,.loc4,.loc3,.loc1,.loc2,bad,"['loc4', 'loc2', 'loc2']","[1362, 2772, 3495]",tissues_small.jpg,ribbon_small.jpg,ribbon_small.jpg,ribbon_big.jpg,20,test20,test,18,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,spring_big.jpg,semantic_contrast,Click on the rubber duck,.loc2,.loc4,.loc3,.loc1,bad,"['loc1', 'loc1', 'loc1']","[1166, 1891, 2494]",parsley_small.jpg,nailclippers.jpg,duck_plush.jpg,duck_rubber.jpg,152,filler32,filler,19,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,kettle_silver.jpg,semantic_control,Click on the bowtie,.loc2,.loc4,.loc3,.loc1,bad,"['loc2', 'loc1']","[1857, 3267]",kettle_gold.jpg,bowtie_small.jpg,pomegranate_small.jpg,bowtie_big.jpg,277,filler157,filler,20,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pants_big.jpg,no_contrast,Click on the popcorn,.loc2,.loc3,.loc4,.loc1,bad,"['loc2', 'loc3']","[1343, 2791]",firepants_small.jpg,popcorn_big.jpg,pool_big.jpg,popcorn_small.jpg,115,train75,train,21,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,spraybottle_orange.jpg,semantic_control,Click on the kazoo,.loc2,.loc3,.loc4,.loc1,bad,"['loc3', 'loc3']","[1633, 2448]",spraybottle_blue.jpg,kazoo_big.jpg,babyswing_big.jpg,kazoo_small.jpg,252,filler132,filler,22,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pingpong_big.jpg,contrast_control,Click on the dolphin,.loc3,.loc2,.loc4,.loc1,bad,"['loc2', 'loc2']","[3344, 4147]",pingpong_small.jpg,dolphin_big.jpg,magnifyingglass_big.jpg,dolphin_small.jpg,202,filler82,filler,23,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,convertible_closed.jpg,semantic_control,Click on the champagne,.loc1,.loc4,.loc2,.loc3,bad,"['loc2', 'loc3']","[1378, 2949]",convertible_open.jpg,champagne_small.jpg,jar_small.jpg,champagne_big.jpg,247,filler127,filler,24,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,scissors_big.jpg,contrast,Click on the small fish,.loc4,.loc2,.loc3,.loc1,bad,"['loc4', 'loc4', 'loc4']","[3154, 3937, 4597]",rollerblades_small.jpg,fish_big.jpg,fish_big.jpg,fish_small.jpg,17,test17,test,25,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,burger_big.jpg,contrast_control,Click on the teapot,.loc4,.loc1,.loc3,.loc2,bad,"['loc2', 'loc2']","[1703, 2538]",burger_small.jpg,teapot_big.jpg,funnel_big.jpg,teapot_small.jpg,184,filler64,filler,26,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,stroller_big.jpg,contrast,Click on the small drum,.loc4,.loc3,.loc2,.loc1,bad,"['loc3', 'loc3', 'loc3']","[1876, 3394, 4202]",doll_small.jpg,floppydiscs_big.jpg,drum_big.jpg,drum_small.jpg,52,train12,train,27,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,brochette_big.jpg,contrast,Click on the small necklace,.loc4,.loc1,.loc3,.loc2,bad,"['loc1', 'loc2', 'loc2']","[1362, 3163, 3983]",kazoo_small.jpg,matzah_big.jpg,necklace_big.jpg,necklace_small.jpg,72,train32,train,28,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,protractor_big.jpg,semantic_contrast,Click on the shorthair puppet,.loc1,.loc3,.loc2,.loc4,bad,"['loc1', 'loc4', 'loc4']","[2488, 4033, 4843]",shades_small.jpg,sled.jpg,puppet_longhair.jpg,puppet_shorthair.jpg,169,filler49,filler,29,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,train_big.jpg,no_contrast,Click on the cherry,.loc3,.loc1,.loc2,.loc4,bad,"['loc1', 'loc1']","[1424, 2164]",jetski_small.jpg,cherry_big.jpg,briefcase_big.jpg,cherry_small.jpg,85,train45,train,30,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pen_green.jpg,semantic_control,Click on the lollipops,.loc4,.loc3,.loc2,.loc1,bad,"['loc1', 'loc1']","[1139, 1858]",pen_black.jpg,lollipops_small.jpg,pitchfork_small.jpg,lollipops_big.jpg,275,filler155,filler,31,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,soap_big.jpg,contrast,Click on the big pear,.loc2,.loc3,.loc1,.loc4,bad,"['loc2', 'loc2', 'loc4']","[1452, 2407, 3505]",cannoli_small.jpg,pear_small.jpg,pear_small.jpg,pear_big.jpg,9,test9,test,32,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,sushi_big.jpg,contrast_control,Click on the cone,.loc4,.loc2,.loc1,.loc3,bad,"['loc4', 'loc2']","[1515, 3010]",sushi_small.jpg,cone_big.jpg,stroller_big.jpg,cone_small.jpg,208,filler88,filler,33,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,measuringtape_big.jpg,semantic_contrast,Click on the open box,.loc1,.loc3,.loc2,.loc4,bad,"['loc4', 'loc4', 'loc4']","[1663, 2640, 3274]",screw_small.jpg,skeleton.jpg,box_closed.jpg,box_open.jpg,168,filler48,filler,34,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,ovenmit_big.jpg,no_contrast,Click on the avocado,.loc4,.loc3,.loc2,.loc1,bad,"['loc3', 'loc3']","[1390, 2182]",candleholder_small.jpg,avocado_big.jpg,seahorse_big.jpg,avocado_small.jpg,117,train77,train,35,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,veggieplatter_big.jpg,contrast,Click on the small cat,.loc3,.loc1,.loc2,.loc4,bad,"['loc1', 'loc1', 'loc4']","[1323, 2036, 3222]",recliner_small.jpg,cat_big.jpg,cat_big.jpg,cat_small.jpg,12,test12,test,36,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,cannoli_big.jpg,contrast_control,Click on the graduationhat,.loc3,.loc1,.loc2,.loc4,bad,"['loc1', 'loc4']","[1563, 3362]",cannoli_small.jpg,graduationhat_big.jpg,footstool_big.jpg,graduationhat_small.jpg,236,filler116,filler,37,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,window_big.jpg,no_contrast,Click on the saxophone,.loc3,.loc4,.loc1,.loc2,bad,"['loc1', 'loc4']","[1614, 3120]",pearls_small.jpg,saxophone_big.jpg,alarmclock_big.jpg,saxophone_small.jpg,101,train61,train,38,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,yoyo_big.jpg,contrast_control,Click on the dart,.loc2,.loc1,.loc3,.loc4,bad,"['loc2', 'loc2']","[1323, 2084]",yoyo_small.jpg,dart_big.jpg,creamer_big.jpg,dart_small.jpg,230,filler110,filler,39,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,scarf_big.jpg,contrast,Click on the small eagle,.loc2,.loc4,.loc1,.loc3,bad,"['loc2', 'loc3', 'loc3']","[1183, 3201, 3946]",horse_small.jpg,scotchtape_big.jpg,eagle_big.jpg,eagle_small.jpg,70,train30,train,40,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,parfait_stemglass.jpg,semantic_control,Click on the eggs,.loc2,.loc4,.loc1,.loc3,bad,"['loc2', 'loc2']","[1457, 2159]",parfait_cup.jpg,eggs_big.jpg,pinata_big.jpg,eggs_small.jpg,242,filler122,filler,41,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pasta_ravioli.jpg,semantic_control,Click on the package,.loc3,.loc1,.loc4,.loc2,bad,"['loc1', 'loc1']","[1166, 2104]",pasta_spaghetti.jpg,package_big.jpg,bloodymary_big.jpg,package_small.jpg,296,filler176,filler,42,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,chick_big.jpg,no_contrast,Click on the bowlingpin,.loc4,.loc1,.loc3,.loc2,bad,"['loc4', 'loc1']","[1581, 3369]",raspberry_small.jpg,bowlingpin_small.jpg,eagle_small.jpg,bowlingpin_big.jpg,110,train70,train,43,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,cassette_black.jpg,semantic_control,Click on the garlic,.loc2,.loc1,.loc3,.loc4,bad,"['loc1', 'loc1']","[955, 1872]",cassette_white.jpg,garlic_big.jpg,tank_big.jpg,garlic_small.jpg,268,filler148,filler,44,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,stove_big.jpg,contrast_control,Click on the gun,.loc4,.loc2,.loc1,.loc3,bad,"['loc2', 'loc2']","[1363, 2111]",stove_small.jpg,gun_small.jpg,bush_small.jpg,gun_big.jpg,223,filler103,filler,45,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,ghost_big.jpg,no_contrast,Click on the whistle,.loc1,.loc2,.loc4,.loc3,bad,"['loc2', 'loc2']","[1192, 1905]",sheep_small.jpg,whistle_small.jpg,banjo_small.jpg,whistle_big.jpg,108,train68,train,46,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,frog_big.jpg,contrast_control,Click on the lime,.loc4,.loc1,.loc2,.loc3,bad,"['loc1', 'loc1']","[1242, 2020]",frog_small.jpg,lime_big.jpg,milkshake_big.jpg,lime_small.jpg,194,filler74,filler,47,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,blackboard_big.jpg,contrast,Click on the big jeep,.loc1,.loc2,.loc4,.loc3,bad,"['loc1', 'loc3', 'loc3']","[1151, 2913, 3849]",candyapple_small.jpg,snowboard_small.jpg,jeep_small.jpg,jeep_big.jpg,63,train23,train,48,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,playpen_big.jpg,semantic_contrast,Click on the narrow tire,.loc3,.loc1,.loc2,.loc4,bad,"['loc1', 'loc4', 'loc4']","[1609, 4023, 4669]",toytrain_small.jpg,wetsuit.jpg,tire_wide.jpg,tire_narrow.jpg,180,filler60,filler,49,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,gummybears_big.jpg,semantic_contrast,Click on the glazed donut,.loc2,.loc1,.loc3,.loc4,bad,"['loc1', 'loc4', 'loc4']","[1360, 3102, 4217]",organ_small.jpg,lighter.jpg,donut_powdered.jpg,donut_glazed.jpg,148,filler28,filler,50,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,rollingpin_big.jpg,contrast,Click on the small spaceship,.loc3,.loc4,.loc1,.loc2,bad,"['loc2', 'loc2', 'loc2']","[1315, 2302, 3624]",grill_small.jpg,fishbowl_big.jpg,spaceship_big.jpg,spaceship_small.jpg,46,train6,train,51,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,babywalker_blue.jpg,semantic_control,Click on the train,.loc2,.loc4,.loc3,.loc1,bad,"['loc1', 'loc1']","[1290, 2135]",babywalker_yellow.jpg,train_small.jpg,thermometer_small.jpg,train_big.jpg,265,filler145,filler,52,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,lizard_big.jpg,contrast,Click on the big briefcase,.loc4,.loc2,.loc1,.loc3,bad,"['loc1', 'loc4', 'loc4']","[1258, 3585, 4183]",carseat_small.jpg,calculator_small.jpg,briefcase_small.jpg,briefcase_big.jpg,45,train5,train,53,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,cougar_big.jpg,contrast_control,Click on the pizza,.loc3,.loc4,.loc1,.loc2,bad,"['loc1', 'loc2']","[1291, 2865]",cougar_small.jpg,pizza_big.jpg,blackspaceship_big.jpg,pizza_small.jpg,188,filler68,filler,54,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,tennisball_big.jpg,contrast_control,Click on the lion,.loc2,.loc3,.loc1,.loc4,bad,"['loc2', 'loc3']","[1284, 2586]",tennisball_small.jpg,lion_big.jpg,harmonica_big.jpg,lion_small.jpg,240,filler120,filler,55,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,globe_big.jpg,contrast_control,Click on the pie,.loc2,.loc1,.loc4,.loc3,bad,"['loc1', 'loc1']","[1404, 2376]",globe_small.jpg,pie_big.jpg,bandage_big.jpg,pie_small.jpg,216,filler96,filler,56,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,hawk_big.jpg,contrast,Click on the big wallet,.loc2,.loc1,.loc4,.loc3,bad,"['loc1', 'loc2', 'loc3']","[1111, 3413, 4733]",hay_small.jpg,gasmask_small.jpg,wallet_small.jpg,wallet_big.jpg,71,train31,train,57,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,mug_big.jpg,contrast,Click on the small flower,.loc1,.loc3,.loc4,.loc2,bad,"['loc1', 'loc3', 'loc2']","[1041, 2569, 4158]",fireextinguisher_small.jpg,flower_big.jpg,flower_big.jpg,flower_small.jpg,13,test13,test,58,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,fortunecookie_big.jpg,semantic_contrast,Click on the green cabbage,.loc3,.loc4,.loc2,.loc1,bad,"['loc1', 'loc1', 'loc1']","[1253, 2038, 2788]",muffinpan_small.jpg,milkjug.jpg,cabbage_red.jpg,cabbage_green.jpg,146,filler26,filler,59,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,bagpipes_big.jpg,no_contrast,Click on the small bell,.loc1,.loc4,.loc3,.loc2,bad,"['loc2', 'loc2', 'loc2']","[1403, 2423, 3203]",microphone_small.jpg,ribbon_big.jpg,ribbon_big.jpg,bell_small.jpg,40,test40,test,60,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,eiffeltower_big.jpg,no_contrast,Click on the rooster,.loc2,.loc3,.loc4,.loc1,bad,"['loc2', 'loc1']","[724, 1982]",glove_small.jpg,rooster_small.jpg,teabag_small.jpg,rooster_big.jpg,100,train60,train,61,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,birdcage_big.jpg,semantic_contrast,Click on the black shorts,.loc4,.loc2,.loc3,.loc1,bad,"['loc1', 'loc1', 'loc1']","[1045, 2079, 2669]",thermos_small.jpg,zucchini.jpg,shorts_blue.jpg,shorts_black.jpg,175,filler55,filler,62,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,sandbox_big.jpg,semantic_contrast,Click on the lion doorknocker,.loc2,.loc1,.loc3,.loc4,bad,"['loc2', 'loc2', 'loc4']","[1204, 1847, 2957]",peppershaker_small.jpg,rug.jpg,doorknocker_dragon.jpg,doorknocker_lion.jpg,155,filler35,filler,63,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,wheelbarrow_blue.jpg,semantic_control,Click on the teepee,.loc4,.loc1,.loc3,.loc2,bad,"['loc1', 'loc1']","[1396, 2313]",wheelbarrow_red.jpg,teepee_small.jpg,manatee_small.jpg,teepee_big.jpg,259,filler139,filler,64,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,orangejuice_stemglass.jpg,semantic_control,Click on the blueberries,.loc3,.loc1,.loc4,.loc2,bad,"['loc1', 'loc1']","[925, 1850]",orangejuice_tallglass.jpg,blueberries_big.jpg,robe_big.jpg,blueberries_small.jpg,278,filler158,filler,65,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,flower_lily.jpg,semantic_control,Click on the stingray,.loc4,.loc3,.loc2,.loc1,bad,"['loc2', 'loc3']","[1395, 3052]",flower_dahlia.jpg,stingray_big.jpg,castanets_big.jpg,stingray_small.jpg,286,filler166,filler,66,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,golfcart_big.jpg,semantic_contrast,Click on the round cracker,.loc1,.loc3,.loc4,.loc2,bad,"['loc1', 'loc2', 'loc2']","[1450, 2741, 3394]",manatee_small.jpg,grillpan.jpg,cracker_square.jpg,cracker_round.jpg,141,filler21,filler,67,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,gingerbreadcookie_big.jpg,semantic_contrast,Click on the mobile phone,.loc1,.loc3,.loc2,.loc4,bad,"['loc1', 'loc4', 'loc4']","[1363, 2868, 3470]",nailpolish_small.jpg,ship.jpg,phone_landline.jpg,phone_mobile.jpg,147,filler27,filler,68,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,celery_big.jpg,semantic_contrast,Click on the electric kettle,.loc1,.loc2,.loc3,.loc4,bad,"['loc2', 'loc4', 'loc4']","[994, 2380, 2852]",loofa_small.jpg,frenchtoast.jpg,kettle_stovetop.jpg,kettle_electric.jpg,139,filler19,filler,69,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,noisemaker_purple.jpg,semantic_control,Click on the swan,.loc4,.loc1,.loc3,.loc2,bad,"['loc2', 'loc2']","[1236, 2008]",noisemaker_green.jpg,swan_small.jpg,skirt_small.jpg,swan_big.jpg,285,filler165,filler,70,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,duck_camo.jpg,semantic_control,Click on the potato,.loc3,.loc1,.loc4,.loc2,bad,"['loc2', 'loc2']","[1103, 1773]",duck_zebra.jpg,potato_big.jpg,dustpan_big.jpg,potato_small.jpg,262,filler142,filler,71,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,bill_big.jpg,no_contrast,Click on the big camera,.loc4,.loc2,.loc3,.loc1,bad,"['loc2', 'loc1', 'loc1']","[833, 2114, 2725]",wheelchair_small.jpg,flower_small.jpg,flower_small.jpg,camera_big.jpg,33,test33,test,72,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,greentape_big.jpg,semantic_contrast,Click on the green lightbulb,.loc1,.loc2,.loc4,.loc3,bad,"['loc1', 'loc1', 'loc1']","[944, 1930, 2580]",redbean_small.jpg,russiandoll.jpg,lightbulb_white.jpg,lightbulb_green.jpg,164,filler44,filler,73,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,tweezers_big.jpg,semantic_contrast,Click on the green mixer,.loc4,.loc2,.loc3,.loc1,bad,"['loc1', 'loc1', 'loc1']","[1081, 1899, 2700]",skirt_small.jpg,spiderweb.jpg,mixer_red.jpg,mixer_green.jpg,172,filler52,filler,74,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
